task,policy,steps,final_score,total_reward,enrolled,target,budget_remaining,dropped,screened,milestones_hit,delayed_effects_triggered,strategy_steps,recontacts,allocations,episode_index
easy_bench,greedy_screen,180,0.4616,59.7085,0,80,14400.0,0,176,0,198,0,0,0,0
easy_bench,greedy_screen,180,0.4616,59.7085,0,80,14400.0,0,176,0,198,0,0,0,1
easy_bench,greedy_screen,180,0.4616,59.7085,0,80,14400.0,0,176,0,198,0,0,0,2
medium_bench,greedy_screen,180,0.25,35.0053,0,120,23600.0,0,158,0,202,0,0,0,0
medium_bench,greedy_screen,180,0.25,35.0053,0,120,23600.0,0,158,0,202,0,0,0,1
medium_bench,greedy_screen,180,0.25,35.0053,0,120,23600.0,0,158,0,202,0,0,0,2
hard_bench,greedy_screen,145,0.1924,30.6651,0,150,100.0,0,111,0,186,0,0,0,0
hard_bench,greedy_screen,145,0.1924,30.6651,0,150,100.0,0,111,0,186,0,0,0,1
hard_bench,greedy_screen,145,0.1924,30.6651,0,150,100.0,0,111,0,186,0,0,0,2
easy_bench,conservative_retention,180,0.6225,33.6268,28,80,37300.0,11,59,1,71,1,51,69,0
easy_bench,conservative_retention,180,0.6225,33.6268,28,80,37300.0,11,59,1,71,1,51,69,1
easy_bench,conservative_retention,180,0.6225,33.6268,28,80,37300.0,11,59,1,71,1,51,69,2
medium_bench,conservative_retention,180,0.5161,28.6669,18,120,51100.0,13,60,0,128,6,39,70,0
medium_bench,conservative_retention,180,0.5161,28.6669,18,120,51100.0,13,60,0,128,6,39,70,1
medium_bench,conservative_retention,180,0.5161,28.6669,18,120,51100.0,13,60,0,128,6,39,70,2
hard_bench,conservative_retention,180,0.5114,43.9034,3,150,6500.0,21,43,0,170,11,72,47,0
hard_bench,conservative_retention,180,0.5114,43.9034,3,150,6500.0,21,43,0,170,11,72,47,1
hard_bench,conservative_retention,180,0.5114,43.9034,3,150,6500.0,21,43,0,170,11,72,47,2
easy_bench,site_negotiation,180,0.4934,45.4022,36,80,4800.0,7,105,1,96,15,0,57,0
easy_bench,site_negotiation,180,0.4934,45.4022,36,80,4800.0,7,105,1,96,15,0,57,1
easy_bench,site_negotiation,180,0.4934,45.4022,36,80,4800.0,7,105,1,96,15,0,57,2
medium_bench,site_negotiation,180,0.5554,55.8137,20,120,19700.0,11,103,0,145,15,0,44,0
medium_bench,site_negotiation,180,0.5554,55.8137,20,120,19700.0,11,103,0,145,15,0,44,1
medium_bench,site_negotiation,180,0.5554,55.8137,20,120,19700.0,11,103,0,145,15,0,44,2
hard_bench,site_negotiation,180,0.2973,27.4561,0,150,100.0,17,76,0,175,34,0,38,0
hard_bench,site_negotiation,180,0.2973,27.4561,0,150,100.0,17,76,0,175,34,0,38,1
hard_bench,site_negotiation,180,0.2973,27.4561,0,150,100.0,17,76,0,175,34,0,38,2
easy_bench,rule_based_memory,180,0.6281,34.1723,27,80,48100.0,10,38,1,92,21,53,68,0
easy_bench,rule_based_memory,180,0.6281,34.1723,27,80,48100.0,10,38,1,92,21,53,68,1
easy_bench,rule_based_memory,180,0.6281,34.1723,27,80,48100.0,10,38,1,92,21,53,68,2
medium_bench,rule_based_memory,180,0.645,42.3134,18,120,60600.0,12,42,0,148,41,38,56,0
medium_bench,rule_based_memory,180,0.645,42.3134,18,120,60600.0,12,42,0,148,41,38,56,1
medium_bench,rule_based_memory,180,0.645,42.3134,18,120,60600.0,12,42,0,148,41,38,56,2
hard_bench,rule_based_memory,180,0.4077,17.7638,1,150,15200.0,20,39,0,169,13,65,57,0
hard_bench,rule_based_memory,180,0.4077,17.7638,1,150,15200.0,20,39,0,169,13,65,57,1
hard_bench,rule_based_memory,180,0.4077,17.7638,1,150,15200.0,20,39,0,169,13,65,57,2
